rows,cols,implementation,scope,sample,order_slot,elapsed_ms,seed
1,128,torch_softmax,resident_cuda_event_per_call,0,0,0.00638783991337,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,0,1,0.00710367977619,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,1,0,0.00687520027161,20260829
1,128,torch_softmax,resident_cuda_event_per_call,1,1,0.00599168002605,20260829
1,128,torch_softmax,resident_cuda_event_per_call,2,0,0.00621183991432,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,2,1,0.00683871984482,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,3,0,0.00673503994942,20260829
1,128,torch_softmax,resident_cuda_event_per_call,3,1,0.00596192002296,20260829
1,128,torch_softmax,resident_cuda_event_per_call,4,0,0.00601823985577,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,4,1,0.00679359972477,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,5,0,0.00691136002541,20260829
1,128,torch_softmax,resident_cuda_event_per_call,5,1,0.00590879976749,20260829
1,128,torch_softmax,resident_cuda_event_per_call,6,0,0.00588800013065,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,6,1,0.00696319997311,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,7,0,0.00676383972168,20260829
1,128,torch_softmax,resident_cuda_event_per_call,7,1,0.00597440004349,20260829
1,128,torch_softmax,resident_cuda_event_per_call,8,0,0.00595456004143,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,8,1,0.00678719997406,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,9,0,0.00669408023357,20260829
1,128,torch_softmax,resident_cuda_event_per_call,9,1,0.00607775986195,20260829
1,128,torch_softmax,resident_cuda_event_per_call,10,0,0.00600607991219,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,10,1,0.00672479987144,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,11,0,0.00684063971043,20260829
1,128,torch_softmax,resident_cuda_event_per_call,11,1,0.00598720014095,20260829
1,128,torch_softmax,resident_cuda_event_per_call,12,0,0.0060054397583,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,12,1,0.00690912008286,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,13,0,0.00677407979965,20260829
1,128,torch_softmax,resident_cuda_event_per_call,13,1,0.00599008023739,20260829
1,128,torch_softmax,resident_cuda_event_per_call,14,0,0.00611072003841,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,14,1,0.00689535975456,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,15,0,0.00688000023365,20260829
1,128,torch_softmax,resident_cuda_event_per_call,15,1,0.0062377601862,20260829
1,128,torch_softmax,resident_cuda_event_per_call,16,0,0.00590528011322,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,16,1,0.00678816020489,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,17,0,0.00688319981098,20260829
1,128,torch_softmax,resident_cuda_event_per_call,17,1,0.00598815977573,20260829
1,128,torch_softmax,resident_cuda_event_per_call,18,0,0.00602367997169,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,18,1,0.00688575983047,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,19,0,0.00682911992073,20260829
1,128,torch_softmax,resident_cuda_event_per_call,19,1,0.00595103979111,20260829
1,128,torch_softmax,resident_cuda_event_per_call,20,0,0.00611775994301,20260829
1,128,kernel_lab_custom,resident_cuda_event_per_call,20,1,0.0068304002285,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,0,0,0.101281329989,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0,1,0.0984109938145,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,1,0,0.0460315495729,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,1,1,0.0488590449095,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,2,0,0.0636447221041,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,2,1,0.0447165220976,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,3,0,0.0409241765738,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,3,1,0.0436939299107,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,4,0,0.039454549551,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,4,1,0.0469479709864,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,5,0,0.0409632921219,20260829
