rows,cols,implementation,scope,median_ms,min_ms,max_ms,relative_to_torch,max_abs_error,atol,rtol,warmup,repeats,launches_per_sample,seed,correctness
1,128,torch_softmax,resident_cuda_event_per_call,0.00599168002605,0.00588800013065,0.00638783991337,1,0,2e-06,2e-05,10,21,100,20260829,PASS
1,128,kernel_lab_custom,resident_cuda_event_per_call,0.00683871984482,0.00669408023357,0.00710367977619,0.876140588006,0,2e-06,2e-05,10,21,100,20260829,PASS
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,0.0407416373491,0.037332996726,0.101281329989,1,0,2e-06,2e-05,10,21,1,20260829,PASS
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0.0447165220976,0.0394955277443,0.0984109938145,0.911109259798,0,2e-06,2e-05,10,21,1,20260829,PASS
7,37,torch_softmax,resident_cuda_event_per_call,0.00610624015331,0.00591679990292,0.00888320028782,1,0,2e-06,2e-05,10,21,100,20260829,PASS
7,37,kernel_lab_custom,resident_cuda_event_per_call,0.00692480027676,0.00671136021614,0.00804895997047,0.881792962868,0,2e-06,2e-05,10,21,100,20260829,PASS
7,37,torch_softmax,cpu_to_cuda_to_cpu_wall,0.0404603779316,0.0388342887163,0.0956188887358,1,0,2e-06,2e-05,10,21,1,20260829,PASS
7,37,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0.0430252403021,0.0403728336096,0.0680070370436,0.940387029741,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,128,torch_softmax,resident_cuda_event_per_call,0.00596992015839,0.00580384016037,0.00694144010544,1,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,128,kernel_lab_custom,resident_cuda_event_per_call,0.00686432003975,0.0066883200407,0.00780192017555,0.869703062185,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,128,torch_softmax,cpu_to_cuda_to_cpu_wall,0.206843018532,0.188680365682,0.513872131705,1,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0.215282663703,0.191615894437,0.259045511484,0.960797376687,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,257,torch_softmax,resident_cuda_event_per_call,0.00607967972755,0.00595423996449,0.00790624022484,1,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,257,kernel_lab_custom,resident_cuda_event_per_call,0.00688448011875,0.00678111970425,0.00892288029194,0.883099322343,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,0.355137512088,0.342750921845,0.853484496474,1,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0.41377171874,0.377427786589,0.915955752134,0.858293343899,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,512,torch_softmax,resident_cuda_event_per_call,0.00611455976963,0.00601311981678,0.00792447984219,1,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,512,kernel_lab_custom,resident_cuda_event_per_call,0.00695071995258,0.00686847984791,0.00858496010303,0.879701644052,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,512,torch_softmax,cpu_to_cuda_to_cpu_wall,0.500911846757,0.485263764858,0.621151179075,1,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,512,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0.504620373249,0.486277043819,0.595141202211,0.992650858569,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,1024,torch_softmax,resident_cuda_event_per_call,0.0179315197468,0.0177251195908,0.0183062398434,1,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,1024,kernel_lab_custom,resident_cuda_event_per_call,0.018671040535,0.0184633600712,0.019108799696,0.960392095619,0,2e-06,2e-05,10,21,100,20260829,PASS
1024,1024,torch_softmax,cpu_to_cuda_to_cpu_wall,0.939041376114,0.755086541176,3.09259258211,1,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,1024,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0.914134085178,0.763980671763,1.0531693697,1.0272468682,0,2e-06,2e-05,10,21,1,20260829,PASS
1024,2048,torch_softmax,resident_cuda_event_per_call,0.0379689598083,0.0370547199249,0.0382857608795,1,7.45058059692e-09,2e-06,2e-05,10,21,100,20260829,PASS
1024,2048,kernel_lab_custom,resident_cuda_event_per_call,0.0424560022354,0.0422476816177,0.0429302406311,0.89431311968,7.45058059692e-09,2e-06,2e-05,10,21,100,20260829,PASS
1024,2048,torch_softmax,cpu_to_cuda_to_cpu_wall,1.66066363454,1.55390799046,5.62661327422,1,7.45058059692e-09,2e-06,2e-05,10,21,1,20260829,PASS
1024,2048,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,1.6704890877,1.52742117643,1.7974153161,0.994118217693,7.45058059692e-09,2e-06,2e-05,10,21,1,20260829,PASS
1024,4097,torch_softmax,resident_cuda_event_per_call,0.0728326416016,0.0720089578629,0.0731980800629,1,1.86264514923e-09,2e-06,2e-05,10,21,100,20260829,PASS
1024,4097,kernel_lab_custom,resident_cuda_event_per_call,0.155427522659,0.153716163635,0.156003837585,0.46859552514,1.86264514923e-09,2e-06,2e-05,10,21,100,20260829,PASS
1024,4097,torch_softmax,cpu_to_cuda_to_cpu_wall,3.31678986549,3.07703949511,10.6892902404,1,1.86264514923e-09,2e-06,2e-05,10,21,1,20260829,PASS
1024,4097,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,3.42668965459,3.16005758941,10.6882881373,0.967928292265,1.86264514923e-09,2e-06,2e-05,10,21,1,20260829,PASS
