rows,cols,implementation,sample,order_slot,elapsed_ms,seed
1,128,warp_wrapper,0,0,0.022084,20260829
1,128,workspace_fresh,0,1,0.027214,20260829
1,128,workspace_reuse,0,2,0.022215,20260829
1,128,workspace_fresh,1,0,0.027684,20260829
1,128,workspace_reuse,1,1,0.022127,20260829
1,128,warp_wrapper,1,2,0.021612,20260829
1,128,workspace_reuse,2,0,0.023385,20260829
1,128,warp_wrapper,2,1,0.021108,20260829
1,128,workspace_fresh,2,2,0.027095,20260829
1,128,warp_wrapper,3,0,0.021523,20260829
1,128,workspace_fresh,3,1,0.026394,20260829
1,128,workspace_reuse,3,2,0.022508,20260829
1,128,workspace_fresh,4,0,0.027051,20260829
1,128,workspace_reuse,4,1,0.027249,20260829
1,128,warp_wrapper,4,2,0.021884,20260829
1,128,workspace_reuse,5,0,0.021734,20260829
1,128,warp_wrapper,5,1,0.021106,20260829
1,128,workspace_fresh,5,2,0.027491,20260829
1,128,warp_wrapper,6,0,0.022093,20260829
1,128,workspace_fresh,6,1,0.026683,20260829
1,128,workspace_reuse,6,2,0.022506,20260829
1,128,workspace_fresh,7,0,0.026256,20260829
1,128,workspace_reuse,7,1,0.022431,20260829
1,128,warp_wrapper,7,2,0.021925,20260829
1,128,workspace_reuse,8,0,0.021993,20260829
1,128,warp_wrapper,8,1,0.020939,20260829
1,128,workspace_fresh,8,2,0.027096,20260829
1,128,warp_wrapper,9,0,0.022195,20260829
1,128,workspace_fresh,9,1,0.02642,20260829
1,128,workspace_reuse,9,2,0.02253,20260829
1,128,workspace_fresh,10,0,0.034649,20260829
1,128,workspace_reuse,10,1,0.023397,20260829
1,128,warp_wrapper,10,2,0.022505,20260829
1,128,workspace_reuse,11,0,0.023073,20260829
1,128,warp_wrapper,11,1,0.021046,20260829
1,128,workspace_fresh,11,2,0.027653,20260829
1,128,warp_wrapper,12,0,0.020825,20260829
1,128,workspace_fresh,12,1,0.026458,20260829
1,128,workspace_reuse,12,2,0.022062,20260829
1,128,workspace_fresh,13,0,0.031095,20260829
1,128,workspace_reuse,13,1,0.022724,20260829
1,128,warp_wrapper,13,2,0.021463,20260829
1,128,workspace_reuse,14,0,0.022088,20260829
1,128,warp_wrapper,14,1,0.021976,20260829
1,128,workspace_fresh,14,2,0.026384,20260829
1,128,warp_wrapper,15,0,0.021103,20260829
1,128,workspace_fresh,15,1,0.026691,20260829
1,128,workspace_reuse,15,2,0.02175,20260829
1,128,workspace_fresh,16,0,0.026626,20260829
1,128,workspace_reuse,16,1,0.02418,20260829
1,128,warp_wrapper,16,2,0.021394,20260829
1,128,workspace_reuse,17,0,0.023194,20260829
1,128,warp_wrapper,17,1,0.022545,20260829
1,128,workspace_fresh,17,2,0.026827,20260829
1,128,warp_wrapper,18,0,0.02079,20260829
1,128,workspace_fresh,18,1,0.027395,20260829
1,128,workspace_reuse,18,2,0.022515,20260829
1,128,workspace_fresh,19,0,0.026255,20260829
1,128,workspace_reuse,19,1,0.022172,20260829
1,128,warp_wrapper,19,2,0.021632,20260829
1,128,workspace_reuse,20,0,0.022306,20260829
1,128,warp_wrapper,20,1,0.021673,20260829
1,128,workspace_fresh,20,2,0.02642,20260829
7,37,warp_wrapper,0,0,0.022872,20260829
7,37,workspace_fresh,0,1,0.028206,20260829
7,37,workspace_reuse,0,2,0.023193,20260829
7,37,workspace_fresh,1,0,0.028237,20260829
7,37,workspace_reuse,1,1,0.024381,20260829
7,37,warp_wrapper,1,2,0.029233,20260829
7,37,workspace_reuse,2,0,0.024147,20260829
7,37,warp_wrapper,2,1,0.023413,20260829
7,37,workspace_fresh,2,2,0.037086,20260829
7,37,warp_wrapper,3,0,0.026414,20260829
7,37,workspace_fresh,3,1,0.03123,20260829
7,37,workspace_reuse,3,2,0.023029,20260829
7,37,workspace_fresh,4,0,0.028316,20260829
7,37,workspace_reuse,4,1,0.022516,20260829
7,37,warp_wrapper,4,2,0.023504,20260829
7,37,workspace_reuse,5,0,0.022971,20260829
7,37,warp_wrapper,5,1,0.022641,20260829
7,37,workspace_fresh,5,2,0.028765,20260829
7,37,warp_wrapper,6,0,0.022489,20260829
7,37,workspace_fresh,6,1,0.02873,20260829
7,37,workspace_reuse,6,2,0.022541,20260829
7,37,workspace_fresh,7,0,0.027992,20260829
7,37,workspace_reuse,7,1,0.022949,20260829
7,37,warp_wrapper,7,2,0.02276,20260829
7,37,workspace_reuse,8,0,0.023333,20260829
7,37,warp_wrapper,8,1,0.022792,20260829
7,37,workspace_fresh,8,2,0.028364,20260829
7,37,warp_wrapper,9,0,0.027214,20260829
7,37,workspace_fresh,9,1,0.028485,20260829
7,37,workspace_reuse,9,2,0.027705,20260829
7,37,workspace_fresh,10,0,0.028914,20260829
7,37,workspace_reuse,10,1,0.02313,20260829
7,37,warp_wrapper,10,2,0.022806,20260829
7,37,workspace_reuse,11,0,0.023685,20260829
7,37,warp_wrapper,11,1,0.023295,20260829
7,37,workspace_fresh,11,2,0.028122,20260829
7,37,warp_wrapper,12,0,0.022917,20260829
7,37,workspace_fresh,12,1,0.027518,20260829
7,37,workspace_reuse,12,2,0.023091,20260829
7,37,workspace_fresh,13,0,0.031296,20260829
7,37,workspace_reuse,13,1,0.023152,20260829
7,37,warp_wrapper,13,2,0.022515,20260829
7,37,workspace_reuse,14,0,0.023016,20260829
7,37,warp_wrapper,14,1,0.02247,20260829
7,37,workspace_fresh,14,2,0.029348,20260829
7,37,warp_wrapper,15,0,0.02739,20260829
7,37,workspace_fresh,15,1,0.029177,20260829
7,37,workspace_reuse,15,2,0.022651,20260829
7,37,workspace_fresh,16,0,0.028213,20260829
7,37,workspace_reuse,16,1,0.022339,20260829
7,37,warp_wrapper,16,2,0.023639,20260829
7,37,workspace_reuse,17,0,0.022723,20260829
7,37,warp_wrapper,17,1,0.022637,20260829
7,37,workspace_fresh,17,2,0.029066,20260829
7,37,warp_wrapper,18,0,0.02277,20260829
7,37,workspace_fresh,18,1,0.02852,20260829
7,37,workspace_reuse,18,2,0.022526,20260829
7,37,workspace_fresh,19,0,0.028247,20260829
7,37,workspace_reuse,19,1,0.022819,20260829
7,37,warp_wrapper,19,2,0.023062,20260829
7,37,workspace_reuse,20,0,0.023168,20260829
7,37,warp_wrapper,20,1,0.023012,20260829
7,37,workspace_fresh,20,2,0.034077,20260829
1024,128,warp_wrapper,0,0,0.272281,20260829
1024,128,workspace_fresh,0,1,0.330231,20260829
1024,128,workspace_reuse,0,2,0.267219,20260829
1024,128,workspace_fresh,1,0,0.280186,20260829
1024,128,workspace_reuse,1,1,0.2759,20260829
1024,128,warp_wrapper,1,2,0.335427,20260829
1024,128,workspace_reuse,2,0,0.271133,20260829
1024,128,warp_wrapper,2,1,0.277639,20260829
1024,128,workspace_fresh,2,2,0.323704,20260829
1024,128,warp_wrapper,3,0,0.29265,20260829
1024,128,workspace_fresh,3,1,0.320272,20260829
1024,128,workspace_reuse,3,2,0.270742,20260829
1024,128,workspace_fresh,4,0,0.286248,20260829
1024,128,workspace_reuse,4,1,0.279111,20260829
1024,128,warp_wrapper,4,2,0.323783,20260829
1024,128,workspace_reuse,5,0,0.281527,20260829
1024,128,warp_wrapper,5,1,0.284754,20260829
1024,128,workspace_fresh,5,2,0.321488,20260829
1024,128,warp_wrapper,6,0,0.294068,20260829
1024,128,workspace_fresh,6,1,0.32959,20260829
1024,128,workspace_reuse,6,2,0.27011,20260829
1024,128,workspace_fresh,7,0,0.286874,20260829
1024,128,workspace_reuse,7,1,0.273905,20260829
1024,128,warp_wrapper,7,2,0.329364,20260829
1024,128,workspace_reuse,8,0,0.268274,20260829
1024,128,warp_wrapper,8,1,0.277123,20260829
1024,128,workspace_fresh,8,2,0.330583,20260829
1024,128,warp_wrapper,9,0,0.274521,20260829
1024,128,workspace_fresh,9,1,0.323327,20260829
1024,128,workspace_reuse,9,2,0.270295,20260829
1024,128,workspace_fresh,10,0,0.293667,20260829
1024,128,workspace_reuse,10,1,0.267996,20260829
1024,128,warp_wrapper,10,2,0.329122,20260829
1024,128,workspace_reuse,11,0,0.273174,20260829
1024,128,warp_wrapper,11,1,0.28048,20260829
1024,128,workspace_fresh,11,2,0.330276,20260829
1024,128,warp_wrapper,12,0,0.285111,20260829
1024,128,workspace_fresh,12,1,0.324309,20260829
1024,128,workspace_reuse,12,2,0.264423,20260829
1024,128,workspace_fresh,13,0,0.284003,20260829
1024,128,workspace_reuse,13,1,0.280729,20260829
1024,128,warp_wrapper,13,2,0.317968,20260829
1024,128,workspace_reuse,14,0,0.267936,20260829
1024,128,warp_wrapper,14,1,0.276174,20260829
1024,128,workspace_fresh,14,2,0.330471,20260829
1024,128,warp_wrapper,15,0,0.274965,20260829
1024,128,workspace_fresh,15,1,0.324343,20260829
1024,128,workspace_reuse,15,2,0.274775,20260829
1024,128,workspace_fresh,16,0,0.276875,20260829
1024,128,workspace_reuse,16,1,0.272166,20260829
1024,128,warp_wrapper,16,2,0.34645,20260829
1024,128,workspace_reuse,17,0,0.286913,20260829
1024,128,warp_wrapper,17,1,0.279731,20260829
1024,128,workspace_fresh,17,2,0.329577,20260829
1024,128,warp_wrapper,18,0,0.275581,20260829
1024,128,workspace_fresh,18,1,0.325596,20260829
1024,128,workspace_reuse,18,2,0.275488,20260829
1024,128,workspace_fresh,19,0,0.289332,20260829
1024,128,workspace_reuse,19,1,0.26503,20260829
1024,128,warp_wrapper,19,2,0.407258,20260829
1024,128,workspace_reuse,20,0,0.27083,20260829
1024,128,warp_wrapper,20,1,0.275132,20260829
1024,128,workspace_fresh,20,2,0.33096,20260829
1024,257,warp_wrapper,0,0,0.75427,20260829
1024,257,workspace_fresh,0,1,0.791786,20260829
1024,257,workspace_reuse,0,2,0.522386,20260829
1024,257,workspace_fresh,1,0,0.804281,20260829
1024,257,workspace_reuse,1,1,0.522815,20260829
1024,257,warp_wrapper,1,2,0.812656,20260829
1024,257,workspace_reuse,2,0,0.52466,20260829
1024,257,warp_wrapper,2,1,0.748163,20260829
1024,257,workspace_fresh,2,2,0.731739,20260829
1024,257,warp_wrapper,3,0,0.783247,20260829
1024,257,workspace_fresh,3,1,0.790442,20260829
1024,257,workspace_reuse,3,2,0.524088,20260829
1024,257,workspace_fresh,4,0,0.896885,20260829
1024,257,workspace_reuse,4,1,0.555078,20260829
1024,257,warp_wrapper,4,2,0.826356,20260829
1024,257,workspace_reuse,5,0,0.560656,20260829
1024,257,warp_wrapper,5,1,1.056966,20260829
1024,257,workspace_fresh,5,2,1.03374,20260829
1024,257,warp_wrapper,6,0,1.039629,20260829
1024,257,workspace_fresh,6,1,1.056255,20260829
1024,257,workspace_reuse,6,2,0.601413,20260829
1024,257,workspace_fresh,7,0,1.128346,20260829
1024,257,workspace_reuse,7,1,0.572202,20260829
1024,257,warp_wrapper,7,2,1.069459,20260829
1024,257,workspace_reuse,8,0,0.581181,20260829
1024,257,warp_wrapper,8,1,0.951918,20260829
1024,257,workspace_fresh,8,2,0.977836,20260829
1024,257,warp_wrapper,9,0,0.867966,20260829
1024,257,workspace_fresh,9,1,0.922164,20260829
1024,257,workspace_reuse,9,2,0.605933,20260829
1024,257,workspace_fresh,10,0,0.938585,20260829
1024,257,workspace_reuse,10,1,0.653707,20260829
1024,257,warp_wrapper,10,2,0.930881,20260829
1024,257,workspace_reuse,11,0,0.66516,20260829
1024,257,warp_wrapper,11,1,0.993349,20260829
1024,257,workspace_fresh,11,2,0.748805,20260829
1024,257,warp_wrapper,12,0,0.725823,20260829
1024,257,workspace_fresh,12,1,0.751438,20260829
1024,257,workspace_reuse,12,2,0.539403,20260829
1024,257,workspace_fresh,13,0,0.754724,20260829
1024,257,workspace_reuse,13,1,0.479228,20260829
1024,257,warp_wrapper,13,2,0.743539,20260829
1024,257,workspace_reuse,14,0,0.489566,20260829
1024,257,warp_wrapper,14,1,0.770869,20260829
1024,257,workspace_fresh,14,2,0.775197,20260829
1024,257,warp_wrapper,15,0,0.722475,20260829
1024,257,workspace_fresh,15,1,0.734018,20260829
1024,257,workspace_reuse,15,2,0.527398,20260829
1024,257,workspace_fresh,16,0,0.749037,20260829
1024,257,workspace_reuse,16,1,0.522295,20260829
1024,257,warp_wrapper,16,2,0.796033,20260829
1024,257,workspace_reuse,17,0,0.499314,20260829
1024,257,warp_wrapper,17,1,0.789999,20260829
1024,257,workspace_fresh,17,2,0.732002,20260829
1024,257,warp_wrapper,18,0,0.766233,20260829
1024,257,workspace_fresh,18,1,0.776279,20260829
1024,257,workspace_reuse,18,2,0.526771,20260829
1024,257,workspace_fresh,19,0,0.789294,20260829
1024,257,workspace_reuse,19,1,0.48972,20260829
1024,257,warp_wrapper,19,2,0.790137,20260829
